Designator,Mid X,Mid Y,Rotation,Layer
A1,52.6875,-71.11,270.0,top
C1,51.0,-38.5,0.0,top
C2,50.5,-46.0,0.0,top
J1,69.97,-24.45,0.0,top
J2,58.54,-27.0,0.0,top
J3,23.975,-35.0,90.0,top
J4,25.75,-24.45,0.0,top
J5,34.25,-24.45,0.0,top
J6,45.46,-27.0,0.0,top
J7,23.6,-52.5,90.0,top
Q1,77.0,-42.475,180.0,bottom
Q2,64.0,-44.475,180.0,bottom
R1,77.0,-46.0,180.0,top
R2,64.0,-42.0,180.0,top
R3,77.0,-57.0,180.0,top
R4,51.0,-51.0,0.0,top
R6,29.2,-41.7,180.0,top
R7,23.5,-66.5,90.0,top
U1,31.5,-52.5,0.0,top
U2,39.7925,-42.0925,270.0,top
